Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,17,1,District-West Garo Hills,Rural,0-4,40,41,92,102,9,8,31,27,23,14
C4920,17,1,District-West Garo Hills,Rural,5-9,55,50,129,112,35,17,43,27,52,30
C4920,17,1,District-West Garo Hills,Rural,10-19,118,111,234,251,76,65,107,81,123,120
C4920,17,1,District-West Garo Hills,Rural,20-29,87,86,188,177,59,56,119,65,114,89
C4920,17,1,District-West Garo Hills,Rural,30-39,64,79,126,148,53,50,72,53,95,76
C4920,17,1,District-West Garo Hills,Rural,40-49,107,110,163,171,41,33,93,49,60,64
C4920,17,1,District-West Garo Hills,Rural,50-59,154,163,166,145,17,14,66,49,30,49
C4920,17,1,District-West Garo Hills,Rural,60-69,121,162,151,133,9,9,80,43,25,19
C4920,17,1,District-West Garo Hills,Rural,70-79,61,72,62,68,4,10,31,28,3,10
C4920,17,1,District-West Garo Hills,Rural,80-89,22,30,22,24,0,1,8,18,3,2
C4920,17,1,District-West Garo Hills,Rural,90+,10,5,9,8,1,2,3,6,0,1
C4920,17,1,District-West Garo Hills,Rural,Age Not Stated,1,0,2,2,1,2,1,0,0,1
C4920,17,1,District-West Garo Hills,Urban,0-4,1,2,5,3,1,0,1,0,2,2
C4920,17,1,District-West Garo Hills,Urban,5-9,3,0,4,5,2,0,4,1,1,1
C4920,17,1,District-West Garo Hills,Urban,10-19,8,9,20,17,9,12,11,6,10,11
C4920,17,1,District-West Garo Hills,Urban,20-29,9,4,15,14,4,7,2,7,15,14
C4920,17,1,District-West Garo Hills,Urban,30-39,7,5,9,10,4,3,4,3,11,10
C4920,17,1,District-West Garo Hills,Urban,40-49,12,7,9,19,1,7,11,9,9,13
C4920,17,1,District-West Garo Hills,Urban,50-59,9,6,12,10,3,2,5,6,8,3
C4920,17,1,District-West Garo Hills,Urban,60-69,11,2,8,6,3,0,4,5,1,2
C4920,17,1,District-West Garo Hills,Urban,70-79,6,3,7,3,0,0,3,4,2,0
C4920,17,1,District-West Garo Hills,Urban,80-89,3,0,3,2,0,0,2,3,0,1
C4920,17,1,District-West Garo Hills,Urban,90+,1,1,0,0,0,0,0,0,0,1
C4920,17,1,District-West Garo Hills,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0,0
C4920,17,2,District-East Garo Hills,Rural,0-4,13,12,79,74,1,0,17,9,3,4
C4920,17,2,District-East Garo Hills,Rural,5-9,22,12,77,65,14,25,15,10,13,8
C4920,17,2,District-East Garo Hills,Rural,10-19,40,36,195,172,33,35,49,39,37,32
C4920,17,2,District-East Garo Hills,Rural,20-29,35,37,142,143,25,25,42,35,32,29
C4920,17,2,District-East Garo Hills,Rural,30-39,33,29,104,93,19,20,40,23,16,20
C4920,17,2,District-East Garo Hills,Rural,40-49,32,28,85,62,18,9,34,23,14,16
C4920,17,2,District-East Garo Hills,Rural,50-59,35,26,52,62,8,6,29,20,5,9
C4920,17,2,District-East Garo Hills,Rural,60-69,26,28,53,44,5,3,26,11,7,3
C4920,17,2,District-East Garo Hills,Rural,70-79,12,27,32,25,1,1,12,16,2,0
C4920,17,2,District-East Garo Hills,Rural,80-89,2,4,8,2,0,0,3,4,1,0
C4920,17,2,District-East Garo Hills,Rural,90+,1,1,5,0,1,1,2,1,0,0
C4920,17,2,District-East Garo Hills,Rural,Age Not Stated,4,2,0,0,0,0,0,0,0,1
C4920,17,2,District-East Garo Hills,Urban,0-4,5,5,1,0,0,0,0,3,1,3
C4920,17,2,District-East Garo Hills,Urban,5-9,2,7,7,6,5,4,2,2,0,1
C4920,17,2,District-East Garo Hills,Urban,10-19,1,8,10,12,5,5,8,2,13,12
C4920,17,2,District-East Garo Hills,Urban,20-29,8,5,119,7,5,2,7,4,12,7
C4920,17,2,District-East Garo Hills,Urban,30-39,5,4,11,6,1,2,4,5,4,6
C4920,17,2,District-East Garo Hills,Urban,40-49,6,1,8,5,1,4,7,3,5,4
C4920,17,2,District-East Garo Hills,Urban,50-59,3,2,4,3,0,0,5,3,2,1
C4920,17,2,District-East Garo Hills,Urban,60-69,4,1,6,6,1,0,6,0,1,1
C4920,17,2,District-East Garo Hills,Urban,70-79,1,2,2,4,0,0,4,1,2,1
C4920,17,2,District-East Garo Hills,Urban,80-89,0,1,4,1,0,1,0,0,0,0
C4920,17,2,District-East Garo Hills,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,17,2,District-East Garo Hills,Urban,Age Not Stated,0,0,185,0,0,0,0,0,1,0
C4920,17,3,District-South Garo Hills,Rural,0-4,7,10,45,48,3,2,1,6,4,6
C4920,17,3,District-South Garo Hills,Rural,5-9,19,8,45,40,12,9,12,9,9,6
C4920,17,3,District-South Garo Hills,Rural,10-19,23,23,85,87,25,15,27,12,29,25
C4920,17,3,District-South Garo Hills,Rural,20-29,21,20,71,72,12,18,21,16,27,25
C4920,17,3,District-South Garo Hills,Rural,30-39,12,12,59,51,9,12,14,11,17,21
C4920,17,3,District-South Garo Hills,Rural,40-49,24,21,46,37,10,7,19,15,15,13
C4920,17,3,District-South Garo Hills,Rural,50-59,27,29,32,22,3,6,11,9,6,14
C4920,17,3,District-South Garo Hills,Rural,60-69,26,36,31,21,2,1,9,5,2,2
C4920,17,3,District-South Garo Hills,Rural,70-79,12,13,17,11,2,2,6,7,1,1
C4920,17,3,District-South Garo Hills,Rural,80-89,4,2,8,5,0,0,1,3,0,0
C4920,17,3,District-South Garo Hills,Rural,90+,2,1,3,2,0,0,1,0,1,0
C4920,17,3,District-South Garo Hills,Rural,Age Not Stated,0,0,1,0,0,0,0,0,0,0
C4920,17,3,District-South Garo Hills,Urban,0-4,0,1,5,3,0,1,0,1,3,3
C4920,17,3,District-South Garo Hills,Urban,5-9,1,0,1,6,1,2,2,0,3,4
C4920,17,3,District-South Garo Hills,Urban,10-19,5,1,5,5,2,0,2,2,11,7
